Beneath;2013;tt2991296;221332;2204;5.5;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
Benim Dünyam;2013;tt3159564;222761;2097;7.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;14;4;4;2;4;
Besharam;2013;tt2576450;223602;3670;3.7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Best Night Ever;2013;tt2499414;221505;1519;3.8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Bethlehem;2013;tt2915160;223339;1176;7.2;2;12;6;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
Bien profond dans ton âme;2013;tt2791018;225285;15;6.2;0;11;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Big Bad Wolves;2013;tt2309224;222392;9748;6.8;5;38;29;13;10;3;0;1;3;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;
Big Sur;2013;tt1462411;192944;1183;5.8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Biriyani;2013;tt2638104;225598;668;6.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Black Nativity;2013;tt1425922;209793;1337;4.2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Blackbird;2013;tt2963866;220518;54;7.9;6;29;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Bling Ring;2013;tt2132285;204184;57302;5.6;17;75;181;200;109;60;0;1;1;1;1;0;1;6;6;2;3;0;2;1;1;1;3;3;0;0;5;0;0;0;
Blood of Redemption;2013;tt2510268;221367;969;4.5;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Blood Shot;2013;tt1196124;232524;489;3.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Blood Ties;2013;tt1747958;199113;10928;6.5;25;77;104;70;38;12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;2;1;0;0;0;
Blue Caprice;2013;tt2027064;196891;3911;6.0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Blue Jasmine;2013;tt2334873;206191;123086;7.3;56;283;251;126;38;28;3;11;5;0;1;0;20;27;14;3;0;1;2;6;1;1;1;1;1;6;3;1;0;0;
Blue Ruin;2013;tt2359024;220934;27509;7.1;9;57;71;23;8;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;
Haunt;2013;tt2386278;216770;4794;5.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;3;0;0;2;0;0;0;0;0;0;0;0;0;
Svecenikova djeca;2013;tt2395421;222806;2255;6.8;0;0;0;0;0;0;0;1;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Borgman;2013;tt1954315;220803;8449;6.8;2;11;9;11;4;2;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;
Boss;2013;tt3667436;224722;21;5.9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Boule & Bill;2013;tt2538654;134691;289;4.1;27;67;112;121;105;124;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;
