Asphalt Watches;2013;tt3106916;228604;44;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ass Backwards;2013;tt1509788;183022;1578;4.2;19;2.7;0;0;0;1;0;0;4;3.0;0;0;0;0;0;0;4;3.0;0;0;0;0;0;0;4;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Assassins Run;2013;tt1502417;217568;941;4.4;3;3.1;0;0;1;0;0;0;2;3.0;0;0;0;0;0;0;51;3.7;2;2;2;1;2;0;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Supercollider;2013;tt2326124;226392;213;3.7;22;2.1;0;0;0;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Attila;2013;tt3184096;224792;384;1.9;1;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.1;0;0;0;0;0;0;1;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Attila Marcel;2013;tt2474438;54342;1205;7.0;389;3.6;10;32;24;15;5;1;0;0;0;0;0;0;0;0;9;3.2;0;0;1;0;0;0;3;3.1;0;0;0;0;0;0;7;3.2;0;0;1;0;0;0;
Au bonheur des ogres;2013;tt2129887;174297;582;6.3;1076;3.3;8;45;56;33;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Au bout du conte;2013;tt2241691;201455;861;6.0;2462;3.0;24;137;156;124;51;43;6;3.2;0;0;1;0;0;0;15;3.1;0;0;0;0;0;1;4;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tore tanzt;2013;tt2822400;221135;557;6.9;24;3.2;1;3;2;1;0;0;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3.2;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;
Avalanche Sharks;2013;tt2622826;221251;755;2.1;88;1.6;2;1;5;1;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avant l'hiver;2013;tt2231630;212752;893;6.3;604;2.5;3;19;30;50;17;9;9;3.1;0;0;1;0;0;0;14;3.4;0;0;1;1;0;0;4;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Emil & Ida i Lönneberga;2013;tt3394878;226430;41;5.2;1;3.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Adventurer: The Curse of the Midas Box;2013;tt1376213;223932;2995;5.4;94;2.4;0;3;4;5;2;1;6;3.1;0;0;0;1;0;0;5;3.2;0;0;0;0;0;0;3;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
500 MPH Storm;2013;tt2518848;218234;1267;2.2;35;1.8;0;0;1;1;1;10;3;2.8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;2.6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
Aya de Yopougon;2013;tt2077703;194895;151;6.5;530;3.9;8;23;22;7;4;2;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baby Balloon;2013;tt3331326;228014;32;5.5;65;3.0;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tomogui;2013;tt2403453;222839;147;6.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jackass Presents: Bad Grandpa;2013;tt3063516;186887;69191;6.6;796;3.0;10;22;43;32;15;10;11;2.8;0;0;1;0;1;0;425;4.2;10;4;13;4;1;1;113;3.5;0;1;4;4;2;0;9;3.1;0;1;0;0;0;0;
Bad Words;2013;tt2170299;210042;28839;6.7;170;3.1;0;5;13;6;1;1;6;3.1;0;0;1;0;0;0;12;3.3;0;1;0;0;0;0;4;3.1;0;0;0;0;0;0;6;3.0;0;0;0;0;0;0;
