2013,tt2147591,"White Lie",Nyima Cartier,218034,13,3.4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,tt1550524,"White Irish Drinkers",John Gray,189847,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2334879,"White House Down",Roland Emmerich,205806,4842,3.4,54,160,223,113,75,58,108,3.5,1,4,8,2,1,1,623,4.4,22,15,16,8,6,0,404,3.8,4,9,6,8,3,3,48,3.5,2,2,7,0,0,0,456,266,239,95,82,
2012,tt1967697,"White Frog",Quentin Lee,222019,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1535110,"When Harry Tries to Marry",Nayan Padrai,192076,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2092011,"What Richard Did",Lenny Abrahamson,216269,80,3,1,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1932767,"What Maisie Knew",Scott McGehee,193740,42,3.6,0,2,1,2,1,0,24,3.4,0,2,2,0,0,0,61,4,1,3,4,1,0,0,14,3.3,0,0,1,1,0,0,13,3.3,1,1,0,1,0,0,0,0,0,0,0,
2010,tt1468387,"What If...",Dallas Jenkins,183551,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,14,3.5,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1981142,"Westwind",Robert Thalheim,193429,20,3.5,1,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2154739,"Westerland",Tim Staffel,202819,2,3.1,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.1,0,0,0,1,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2229511,"Wer",William Brent Bell,203320,34,3,0,3,2,2,2,0,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.3,0,0,2,0,0,0,5,3.2,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1671496,"Wer wenn nicht wir",Andres Veiel,181131,4,3.1,0,0,0,0,0,0,5,3.1,0,0,0,0,0,0,7,3.2,1,1,0,0,0,0,6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
