Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
Raze,2013,tt2111392,200076,57,22,67,120,138,132,96,49,34,65,4,11,25,21,8,97,2.2,0,3,8,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Secret,2013,tt0409379,199496,63,27,65,147,173,105,41,21,14,31,2,9,13,14,1,35,3.1,0,1,1,3,0,0,3,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enemies Closer,2013,tt2395199,210041,35,8,30,61,107,91,56,30,26,27,,,,,,93,2.5,4,1,9,6,5,5,0,0,0,0,0,0,0,0,6,3.3,0,1,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunshine on Leith,2013,tt2481198,223704,10,5,14,25,24,8,11,2,3,19,6,29,52,11,1,11,3.4,1,0,1,0,0,0,15,3.2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothing Left to Fear,2013,tt1662293,206416,23,11,21,47,62,108,90,66,41,58,,,,,,36,2.1,1,0,2,1,3,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9,0,0,1,0,1,0,2,3,0,0,0,0,0,0
House of Last Things,2013,tt1464539,208836,424,698,566,334,112,23,20,16,15,24,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Möbius,2013,tt2106550,197303,13,9,26,38,39,30,16,9,11,12,,,,,,4365,2.8,38,200,274,216,97,72,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.9,0,0,0,1,0,0,8,2.9,0,0,0,1,1,0
Khumba,2013,tt1487931,205730,24,7,18,38,41,49,18,9,11,19,,,,,,349,3,3,6,25,12,3,2,11,3.1,2,0,0,0,0,0,50,3.4,1,1,1,1,2,1,6,2.9,0,0,0,0,0,0,5,3,0,0,0,0,0,0
As Cool as I Am,2013,tt1906329,194850,36,20,57,108,146,110,45,22,16,23,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.5,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krugovi,2013,tt1839522,217250,33,19,30,14,9,3,4,0,1,2,,,,,,32,3.8,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.1,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0
